RPM,RPMS Power (RL=1),RPMS Power (RL=2),RPMS Power (RL=10),RPMS Power (RL=15),RPMS Power (RL=22),RPMS Power (RL=33),RPMS Power (RL=47),RPMS Power (RL=68)
6.219219219219219497e+01,2.239866452077804160e-01,2.519955180578958842e-01,1.400042040920343456e-01,1.046401341556884301e-01,7.700265743113236805e-02,5.431048872558497803e-02,3.946496364452475175e-02,2.797814529868270297e-02
6.298298298298298903e+01,2.297184001232307204e-01,2.584442887968255165e-01,1.435872015079366348e-01,1.073181000483531822e-01,7.897332390376553268e-02,5.570041408284874540e-02,4.047495958343055866e-02,2.869416821669685397e-02
6.377377377377377599e+01,2.355225468654338905e-01,2.649745213132727595e-01,1.472154687857883393e-01,1.100299014795357716e-01,8.096888948731793822e-02,5.710790102103951299e-02,4.149771674762235685e-02,2.941923803907038615e-02
6.456456456456456294e+01,2.413990843578167345e-01,2.715862149258201907e-01,1.508890058835161418e-01,1.127755384335675515e-01,8.298935417600432352e-02,5.853294953823867663e-02,4.253323513638873621e-02,3.015335476555619856e-02
6.535535535535535701e+01,2.473480115103869892e-01,2.782793689445537400e-01,1.546078127585218953e-01,1.155550108945844062e-01,8.503471796396731841e-02,5.997555963250369993e-02,4.358151474900964079e-02,3.089651839590411286e-02
6.614614614614615107e+01,2.533693272197337087e-01,2.850539826710616897e-01,1.583718893676825668e-01,1.183683188465264047e-01,8.710498084527730500e-02,6.143573130186811421e-02,4.464255558475590385e-02,3.164872892986088371e-02
6.693693693693694513e+01,2.594630303690276807e-01,2.919100553984352309e-01,1.621812356673500710e-01,1.212154622731385634e-01,8.920014281393263966e-02,6.291346454434146307e-02,4.571635764288964343e-02,3.240998636717015713e-02
6.772772772772773919e+01,2.656291198280222865e-01,2.988475864112690727e-01,1.660358516133514928e-01,1.240964411579700694e-01,9.132020386385933386e-02,6.440875935790943418e-02,4.680292092266404025e-02,3.318029070757248788e-02
6.851851851851851904e+01,2.718675944530536959e-01,3.058665749856605554e-01,1.699357371609890033e-01,1.270112554843746966e-01,9.346516398891115129e-02,6.592161574053370665e-02,4.790224542332337937e-02,3.395964195080537762e-02
6.930930930930931311e+01,2.781784530870420324e-01,3.129670203892117031e-01,1.738808922650399713e-01,1.299599052355109030e-01,9.563502318287006587e-02,6.745203369015208283e-02,4.901433114410315428e-02,3.474804009660328874e-02
7.010010010010010717e+01,2.845616945594904301e-01,3.201489218810271153e-01,1.778713168797566024e-01,1.329423903943414698e-01,9.782978143944542904e-02,6.900001320467838428e-02,5.013917808422993505e-02,3.554548514469746401e-02
