RPM,Electrical Power
6.930930930930931311e+01,3.129670203892117031e-01
7.010010010010010717e+01,3.201489218810271153e-01
7.089089089089088702e+01,3.274122787117152988e-01
7.168168168168168108e+01,3.347570901233900553e-01
7.247247247247247515e+01,3.421833553496685387e-01
7.326326326326326921e+01,3.496910736156721988e-01
7.405405405405406327e+01,3.572802441380278915e-01
7.484484484484484312e+01,3.649508661248667130e-01
7.563563563563563719e+01,3.727029387758254986e-01
7.642642642642643125e+01,3.805364612820460457e-01
7.721721721721722531e+01,3.884514328261760574e-01
7.800800800800801937e+01,3.964478525823678656e-01
7.879879879879879923e+01,4.045257197162811513e-01
7.958958958958959329e+01,4.126850333850814456e-01
8.038038038038038735e+01,4.209257927374390751e-01
8.117117117117118141e+01,4.292479969135340467e-01
8.196196196196196126e+01,4.376516450450499973e-01
8.275275275275275533e+01,4.461367362551799109e-01
8.354354354354354939e+01,4.547032696586231770e-01
8.433433433433434345e+01,4.633512443615868670e-01
8.512512512512512330e+01,4.720806594617851792e-01
8.591591591591591737e+01,4.808915140484418815e-01
8.670670670670671143e+01,4.897838072022869804e-01
8.749749749749750549e+01,4.987575379955601074e-01
8.828828828828829955e+01,5.078127054920102967e-01
8.907907907907907941e+01,5.169493087468933767e-01
8.986986986986987347e+01,5.261673468069767434e-01
9.066066066066066753e+01,5.354668187105355859e-01
9.145145145145146159e+01,5.448477234873561059e-01
9.224224224224224145e+01,5.543100601587328535e-01
9.303303303303303551e+01,5.638538277374719465e-01
9.382382382382382957e+01,5.734790252278899603e-01
9.461461461461462363e+01,5.831856516258128176e-01
9.540540540540541770e+01,5.929737059185792303e-01
9.619619619619619755e+01,6.028431870850377017e-01
9.698698698698699161e+01,6.127940940955491911e-01
9.777777777777778567e+01,6.228264259119865587e-01
9.856856856856857974e+01,6.329401814877341215e-01
9.935935935935935959e+01,6.431353597676876532e-01
1.001501501501501536e+02,6.534119596882582703e-01
1.009409409409409477e+02,6.637699801773666586e-01
1.017317317317317418e+02,6.742094201544495125e-01
1.025225225225225216e+02,6.847302785304548722e-01
1.033133133133133157e+02,6.953325542078464538e-01
1.041041041041041098e+02,7.060162460805999851e-01
1.048948948948949038e+02,7.167813530342082018e-01
1.056856856856856979e+02,7.276278739456741862e-01
1.064764764764764777e+02,7.385558076835191388e-01
1.072672672672672718e+02,7.495651531077807128e-01
1.080580580580580659e+02,7.606559090700080183e-01
1.088488488488488599e+02,7.718280744132686166e-01
1.096396396396396398e+02,7.830816479721454115e-01
1.104304304304304338e+02,7.944166285727383148e-01
1.112212212212212279e+02,8.058330150326622476e-01
1.120120120120120220e+02,8.173308061610520259e-01
1.128028028028028160e+02,8.289100007585569196e-01
1.135935935935935959e+02,8.405705976173448724e-01
1.143843843843843899e+02,8.523125955211029448e-01
1.151751751751751840e+02,8.641359932450337622e-01
1.159659659659659781e+02,8.760407895558617319e-01
1.167567567567567579e+02,8.880269832118274920e-01
1.175475475475475520e+02,9.000945729626923519e-01
1.183383383383383460e+02,9.122435575497377380e-01
1.191291291291291401e+02,9.244739357057625284e-01
1.199199199199199342e+02,9.367857061550873832e-01
1.207107107107107140e+02,9.491788676135550773e-01
1.215015015015015081e+02,9.616534187885263929e-01
1.222922922922923021e+02,9.742093583788833389e-01
1.230830830830830962e+02,9.868466850750331476e-01
1.238738738738738761e+02,9.995653975589003926e-01
1.246646646646646701e+02,1.012365494503935093e+00
1.254554554554554642e+02,1.025246974575108272e+00
1.262462462462462582e+02,1.038209836428915178e+00
1.270370370370370381e+02,1.051254078713371287e+00
1.278278278278278322e+02,1.064379700068020185e+00
1.286186186186186262e+02,1.077586699123926683e+00
1.294094094094094203e+02,1.090875074503679265e+00
1.302002002002002143e+02,1.104244824821393189e+00
1.309909909909910084e+02,1.117695948682707607e+00
1.317817817817817740e+02,1.131228444684787338e+00
1.325725725725725965e+02,1.144842311416323311e+00
1.333633633633633622e+02,1.158537547457530570e+00
1.341541541541541562e+02,1.172314151380156044e+00
1.349449449449449503e+02,1.186172121747466335e+00
1.357357357357357444e+02,1.200111457114260594e+00
1.365265265265265384e+02,1.214132156026863196e+00
1.373173173173173325e+02,1.228234217023127961e+00
1.381081081081081265e+02,1.242417638632437038e+00
1.388988988988989206e+02,1.256682419375699133e+00
1.396896896896896862e+02,1.271028557765355060e+00
1.404804804804804803e+02,1.285456052305373298e+00
1.412712712712712744e+02,1.299964901491252878e+00
1.420620620620620684e+02,1.314555103810023384e+00
1.428528528528528625e+02,1.329226657740244955e+00
1.436436436436436566e+02,1.343979561752009833e+00
1.444344344344344506e+02,1.358813814306940371e+00
1.452252252252252447e+02,1.373729413858189918e+00
1.460160160160160387e+02,1.388726358850447484e+00
1.468068068068068044e+02,1.403804647719931520e+00
1.475975975975975985e+02,1.418964278894395914e+00
1.483883883883883925e+02,1.434205250793127995e+00
1.491791791791791866e+02,1.449527561826946309e+00
1.499699699699699806e+02,1.464931210398207950e+00
1.507607607607607747e+02,1.480416194900802340e+00
1.515515515515515688e+02,1.495982513720153229e+00
1.523423423423423628e+02,1.511630165233222911e+00
1.531331331331331285e+02,1.527359147808506012e+00
1.539239239239239225e+02,1.543169459806037036e+00
1.547147147147147166e+02,1.559061099577385701e+00
1.555055055055055107e+02,1.575034065465662270e+00
1.562962962962963047e+02,1.591088355805507781e+00
1.570870870870870988e+02,1.607223968923109370e+00
1.578778778778778928e+02,1.623440903136187607e+00
1.586686686686686869e+02,1.639739156754001836e+00
1.594594594594594810e+02,1.656118728077356383e+00
1.602502502502502466e+02,1.672579615398590347e+00
1.610410410410410407e+02,1.689121817001584036e+00
1.618318318318318347e+02,1.705745331161759859e+00
1.626226226226226288e+02,1.722450156146085432e+00
1.634134134134134229e+02,1.739236290213059810e+00
1.642042042042042169e+02,1.756103731612733254e+00
1.649949949949950110e+02,1.773052478586696790e+00
1.657857857857858050e+02,1.790082529368080877e+00
1.665765765765765991e+02,1.807193882181563627e+00
1.673673673673673647e+02,1.824386535243367025e+00
1.681581581581581588e+02,1.841660486761253823e+00
1.689489489489489529e+02,1.859015734934537534e+00
1.697397397397397469e+02,1.876452277954071990e+00
1.705305305305305410e+02,1.893970114002260452e+00
1.713213213213213351e+02,1.911569241253048945e+00
1.721121121121121291e+02,1.929249657871934698e+00
1.729029029029029232e+02,1.947011362015959257e+00
1.736936936936937173e+02,1.964854351833711599e+00
1.744844844844844829e+02,1.982778625465332345e+00
1.752752752752752770e+02,2.000784181042507548e+00
1.760660660660660710e+02,2.018871016688474018e+00
1.768568568568568651e+02,2.037039130518020436e+00
1.776476476476476591e+02,2.055288520637479355e+00
1.784384384384384532e+02,2.073619185144740307e+00
1.792292292292292473e+02,2.092031122129244913e+00
1.800200200200200413e+02,2.110524329671976673e+00
1.808108108108108354e+02,2.129098805845486275e+00
1.816016016016016010e+02,2.147754548713863620e+00
1.823923923923923951e+02,2.166491556332760027e+00
1.831831831831831892e+02,2.185309826749378903e+00
1.839739739739739832e+02,2.204209358002474861e+00
1.847647647647647773e+02,2.223190148122359044e+00
1.855555555555555713e+02,2.242252195130901349e+00
1.863463463463463654e+02,2.261395497041520208e+00
1.871371371371371595e+02,2.280620051859199027e+00
1.879279279279279535e+02,2.299925857580470634e+00
1.887187187187187192e+02,2.319312912193430165e+00
1.895095095095095132e+02,2.338781213677728843e+00
1.903003003003003073e+02,2.358330760004574866e+00
1.910910910910911014e+02,2.377961549136738739e+00
1.918818818818818954e+02,2.397673579028547497e+00
1.926726726726726895e+02,2.417466847625888704e+00
1.934634634634634835e+02,2.437341352866211341e+00
1.942542542542542776e+02,2.457297092678523587e+00
1.950450450450450433e+02,2.477334064983399919e+00
1.958358358358358373e+02,2.497452267692971795e+00
1.966266266266266314e+02,2.517651698710936081e+00
1.974174174174174254e+02,2.537932355932551065e+00
1.982082082082082195e+02,2.558294237244641778e+00
1.989989989989990136e+02,2.578737340525596888e+00
1.997897897897898076e+02,2.599261663645365150e+00
2.005805805805806017e+02,2.619867204465466060e+00
2.013713713713713958e+02,2.640553960838984970e+00
2.021621621621621614e+02,2.661321930610569986e+00
2.029529529529529555e+02,2.682171111616440839e+00
2.037437437437437495e+02,2.703101501684386676e+00
2.045345345345345436e+02,2.724113098633750951e+00
2.053253253253253376e+02,2.745205900275465627e+00
2.061161161161161317e+02,2.766379904412018753e+00
2.069069069069069258e+02,2.787635108837470010e+00
2.076976976976977198e+02,2.808971511337459148e+00
2.084884884884885139e+02,2.830389109689184668e+00
2.092792792792792795e+02,2.851887901661418923e+00
2.100700700700700736e+02,2.873467885014515222e+00
2.108608608608608677e+02,2.895129057500391845e+00
2.116516516516516617e+02,2.916871416862540034e+00
2.124424424424424558e+02,2.938694960836036429e+00
2.132332332332332498e+02,2.960599687147512427e+00
2.140240240240240439e+02,2.982585593515191036e+00
2.148148148148148380e+02,3.004652677648867787e+00
2.156056056056056320e+02,3.026800937249908507e+00
2.163963963963963977e+02,3.049030370011263091e+00
2.171871871871871917e+02,3.071340973617456171e+00
2.179779779779779858e+02,3.093732745744588009e+00
2.187687687687687799e+02,3.116205684060344261e+00
2.195595595595595739e+02,3.138759786223982218e+00
2.203503503503503680e+02,3.161395049886345454e+00
2.211411411411411621e+02,3.184111472689854061e+00
2.219319319319319561e+02,3.206909052268513971e+00
2.227227227227227502e+02,3.229787786247904968e+00
2.235135135135135158e+02,3.252747672245197563e+00
2.243043043043043099e+02,3.275788707869143224e+00
2.250950950950951039e+02,3.298910890720077482e+00
2.258858858858858980e+02,3.322114218389911056e+00
2.266766766766766921e+02,3.345398688462155157e+00
2.274674674674674861e+02,3.368764298511897071e+00
2.282582582582582802e+02,3.392211046105812589e+00
2.290490490490490743e+02,3.415738928802163343e+00
2.298398398398398683e+02,3.439347944150795922e+00
2.306306306306306340e+02,3.463038089693151633e+00
2.314214214214214280e+02,3.486809362962260295e+00
2.322122122122122221e+02,3.510661761482732679e+00
2.330030030030030161e+02,3.534595282770778724e+00
2.337937937937938102e+02,3.558609924334190655e+00
2.345845845845846043e+02,3.582705683672361197e+00
2.353753753753753983e+02,3.606882558276270245e+00
2.361661661661661924e+02,3.631140545628488869e+00
2.369569569569569580e+02,3.655479643203182860e+00
2.377477477477477521e+02,3.679899848466117174e+00
2.385385385385385462e+02,3.704401158874639499e+00
2.393293293293293402e+02,3.728983571877708236e+00
2.401201201201201343e+02,3.753647084915860521e+00
2.409109109109109284e+02,3.778391695421248198e+00
2.417017017017017224e+02,3.803217400817606730e+00
2.424924924924925165e+02,3.828124198520275634e+00
2.432832832832833105e+02,3.853112085936188702e+00
2.440740740740740762e+02,3.878181060463885110e+00
2.448648648648648702e+02,3.903331119493493873e+00
2.456556556556556643e+02,3.928562260406765372e+00
2.464464464464464584e+02,3.953874480577029615e+00
2.472372372372372524e+02,3.979267777369224657e+00
2.480280280280280465e+02,4.004742148139896152e+00
